label,text
REAL,World leaders to join commemorations marking 80th anniversary of Auschwitz liberation
FAKE,Monster Devastated To See Film Depicting Things He Told Guillermo Del Toro In Confidence
REAL,4 Maoists Involved In C-60 Commando's Killing Arrested In Maharashtra
FAKE,Museum Of Repressed American History Conceals New Exhibit On Tuskegee Experiments
REAL,Tripura Body Wants Kokborok Language In 8th Schedule Of Constitution Amid Row
FAKE,Trump: ‘The Only Gun Guy To Stop Bad Gun With Good Guy’
REAL,Air Hostess Sexual Assault Case Accused Watched Porn Before Crime: Gurugram Cops
FAKE,Coachella By The Numbers
REAL,"22-Year-Old Tricked Into Marrying Bride's Mother, 45, In UP"
FAKE,DOJ Plants Gun On Maine
REAL,Complaint Filed Against Filmmaker Anurag Kashyap Over Alleged Casteist Remarks
FAKE,Pros And Cons Of Bringing Back Extinct Species
REAL,"Woman Teacher Charged For Assaulting Girl, Causing Injury To Private Parts In Gujarat"
FAKE,Katy Perry Unaware She Already Chosen To Be Jettisoned If There Emergency In Space
REAL,"""Barbaric, Should Never Happen Again"": Governor On Bengal Waqf Violence"
FAKE,New iPad Offers 3 Months Of Something Called Apple Deli+
REAL,"""Completely Reject"": BJP Distances Itself From MPs' Remarks On Judiciary"
FAKE,Russell Brand Invited To Florida College To Teach Sexual Assault Workshop
REAL,Want To Take Women Along On Pathway To Success: Namrata Adani At Stanford University
FAKE,Even Investigators Not Sure Why They Keep Releasing Details Of Gene Hackman’s Death
REAL,Mumbai Civic Body Transfers Official After Row Over Jain Temple Demolition
FAKE,"‘Show Me Where You Make Autism!’ Shouts RFK Jr., Storming Sour Patch Kids Factory"
REAL,"""We Should Shut Parliament If..."": BJP MP's Big Remark On Supreme Court"
FAKE,Study Finds Handmade Boy Marionettes Falling Behind Peers In School
REAL,"""I Condemn Congress"": Piyush Goyal Backs Probe Agency's Action In Herald Case"
FAKE,Historians: Quibbling Over Exact Definition Of Concentration Camp Sign Of Healthy Society
REAL,CBI Charges 3 Former Chhattisgarh Top Officials For Allegedly Influencing Probe
FAKE,Small Town Kind Where Everyone Leaves Chastity Belts Unlocked
